Time(sec)	Current(A)
0.179915	0.237083
0.180211	0.240305
0.180508	0.240305
0.180804	0.238801
0.1811	0.241164
0.181397	0.240305
0.181693	0.24052
0.18199	0.240305
0.182286	0.23966
0.182582	0.237942
0.182879	0.240305
0.183175	0.241379
0.183472	0.242453
0.183768	0.237942
0.184064	0.245889
0.184361	0.241164
0.184657	0.241808
0.184954	0.241164
0.18525	0.241164
0.185546	0.242023
0.185843	0.24052
0.186139	0.23966
0.186436	0.240305
0.186732	0.241379
0.187028	0.241593
0.187325	0.240949
0.187621	0.242882
0.187918	0.242023
0.188214	0.241164
0.18851	0.240734
0.188807	0.240305
0.189103	0.241379
0.1894	0.240305
0.189696	0.24052
0.189992	0.241379
0.190289	0.239446
0.190585	0.243526
0.190882	0.240734
0.191178	0.239446
0.191474	0.241164
0.191771	0.242023
0.192067	0.239875
0.192364	0.240949
0.19266	0.241808
0.192956	0.240305
0.193253	0.238157
0.193549	0.24052
0.193846	0.239446
0.194142	0.241593
0.194438	0.241164
0.194735	0.241164
0.195031	0.239231
0.195328	0.239446
0.195624	0.242453
0.19592	0.239875
0.196217	0.241808
0.196513	0.241164
0.19681	0.242238
0.197106	0.239016
0.197402	0.242238
0.197699	0.24009
0.197995	0.242882
0.198292	0.240734
0.198588	0.240949
0.198884	0.240734
0.199181	0.242453
0.199477	0.241164
0.199774	0.23966
0.20007	0.240734
0.200366	0.239016
0.200663	0.241593
0.200959	0.241593
0.201256	0.23966
0.201552	0.237513
0.201848	0.239875
0.202145	0.241808
0.202441	0.242453
0.202738	0.239875
0.203034	0.241379
0.20333	0.24009
0.203627	0.242238
0.203923	0.241593
0.20422	0.239231
0.204516	0.251903
0.204812	0.24052
0.205109	0.241593
0.205405	0.24009
0.205702	0.24052
0.205998	0.241379
0.206294	0.24052
0.206591	0.242238
0.206887	0.24052
0.207184	0.241808
0.20748	0.238801
0.207776	0.239231
0.208073	0.238587
0.208369	0.241808
0.208666	0.24009
0.208962	0.239875
0.209258	0.242238
0.209555	0.240734
0.209851	0.240949
0.210148	0.241379
0.210444	0.238801
0.21074	0.23966
0.211037	0.24052
0.211333	0.23966
0.21163	0.241808
0.211926	0.24009
0.212222	0.241808
0.212519	0.242238
0.212815	0.241164
0.213112	0.240949
0.213408	0.241808
0.213704	0.241808
0.214001	0.242882
0.214297	0.24009
0.214594	0.239016
0.21489	0.238801
0.215186	0.241164
0.215483	0.241808
0.215779	0.24052
0.216076	0.241164
0.216372	0.240949
0.216668	0.239016
0.216965	0.240734
0.217261	0.242238
0.217558	0.240305
0.217854	0.241164
0.21815	0.24052
0.218447	0.240305
0.218743	0.239231
0.21904	0.241164
0.219336	0.239446
0.219632	0.239231
0.219929	0.239875
0.220225	0.24052
0.220522	0.24009
0.220818	0.240949
0.221114	0.239231
0.221411	0.242023
0.221707	0.241379
0.222004	0.240949
0.2223	0.240734
0.222596	0.241379
0.222893	0.240949
0.223189	0.241379
0.223486	0.242023
0.223782	0.239446
0.224078	0.241164
0.224375	0.240949
0.224671	0.245674
0.224968	0.240949
0.225264	0.240949
0.22556	0.240305
0.225857	0.237942
0.226153	0.24052
0.22645	0.243741
0.226746	0.239446
0.227042	0.241164
0.227339	0.238801
0.227635	0.242667
0.227932	0.242023
0.228228	0.240734
0.228524	0.237942
0.228821	0.242023
0.229117	0.240734
0.229414	0.239231
0.22971	0.24052
0.230006	0.24052
0.230303	0.241593
0.230599	0.24052
0.230896	0.240734
0.231192	0.24009
0.231488	0.241164
0.231785	0.242667
0.232081	0.238801
0.232378	0.240734
0.232674	0.242667
0.23297	0.24052
0.233267	0.240949
0.233563	0.239446
0.23386	0.23966
0.234156	0.24009
0.234452	0.241379
0.234749	0.240734
0.235045	0.24052
0.235342	0.24009
0.235638	0.240734
0.235934	0.239875
0.236231	0.239231
0.236527	0.241808
0.236824	0.238801
0.23712	0.243097
0.237416	0.239446
0.237713	0.239231
0.238009	0.240305
0.238306	0.240305
0.238602	0.243097
0.238898	0.242453
0.239195	0.243097
0.239491	0.24009
0.239788	0.244386
0.240084	0.241164
0.24038	0.241593
0.240677	0.241593
0.240973	0.242453
0.24127	0.241379
0.241566	0.240949
0.241862	0.241164
0.242159	0.24009
0.242455	0.241379
0.242752	0.24052
0.243048	0.241164
0.243344	0.242667
0.243641	0.240949
0.243937	0.241808
0.244234	0.24052
0.24453	0.243312
0.244826	0.241379
0.245123	0.244386
0.245419	0.241379
0.245716	0.241808
0.246012	0.241379
0.246308	0.240949
0.246605	0.239875
0.246901	0.24052
0.247198	0.240305
0.247494	0.241164
0.24779	0.241379
0.248087	0.241379
0.248383	0.244171
0.24868	0.24009
0.248976	0.241808
0.249272	0.240949
0.249569	0.242453
0.249865	0.24009
0.250162	0.243097
0.250458	0.240305
0.250754	0.242238
0.251051	0.243312
0.251347	0.241164
0.251644	0.239875
0.25194	0.241164
0.252236	0.241808
0.252533	0.242667
0.252829	0.24052
0.253126	0.239875
0.253422	0.240949
0.253718	0.240305
0.254015	0.240305
0.254311	0.240949
0.254608	0.242023
0.254904	0.241593
0.2552	0.24052
0.255497	0.23966
0.255793	0.240949
0.25609	0.240949
0.256386	0.241808
0.256682	0.241808
0.256979	0.239875
0.257275	0.240305
0.257572	0.241379
0.257868	0.240949
0.258164	0.243956
0.258461	0.237513
0.258757	0.241808
0.259054	0.238801
0.25935	0.240734
